Voter_ID,Age,Gender,State,Constituency,Income_Level,Voted_Party,Turnout,Employment_Status,Education_Level,Date
1001,42,Other,Maharashtra,Nagpur,High,Party B,Yes,Unemployed,Graduate,2019-05-19
1002,56,Female,Bihar,Muzaffarpur,High,Party A,Yes,Student,Postgraduate,2019-04-19
1003,45,Other,Kerala,Kochi,Low,Party C,Yes,Self-employed,Primary,2019-05-14
1004,72,Other,Kerala,Thiruvananthapuram,Low,Party A,Yes,Self-employed,Postgraduate,2019-04-12
1005,83,Other,Bihar,Patna Urban,Medium,Party C,No,Unemployed,Postgraduate,2019-04-16
1006,48,Female,Bihar,Patna Urban,Medium,Party B,Yes,Student,Primary,2019-05-20
1007,66,Female,Tamil Nadu,Coimbatore,High,Party C,No,Self-employed,Primary,2019-04-08
1008,33,Female,Bihar,Patna Urban,High,Party C,Yes,Employed,Postgraduate,2019-04-18
1009,41,Female,Bihar,Muzaffarpur,Medium,Party C,No,Self-employed,Secondary,2019-04-07
1010,41,Female,Maharashtra,Mumbai South,High,Party A,No,Student,Primary,2019-05-04
1011,33,Male,Bihar,Patna Urban,High,Party C,Yes,Employed,Postgraduate,2019-05-22
1012,23,Male,Maharashtra,Mumbai South,High,Party A,Yes,Employed,Graduate,2019-05-25
1013,33,Other,Bihar,Patna Urban,Medium,Party B,Yes,Student,Primary,2019-04-16
1014,84,Female,Maharashtra,Mumbai South,High,Party C,No,Unemployed,Postgraduate,2019-05-15
1015,63,Other,Maharashtra,Pune,High,Party C,Yes,Employed,Primary,2019-04-16
1016,36,Female,Bihar,Patna Urban,Low,Party A,Yes,Self-employed,Graduate,2019-04-09
1017,50,Female,Tamil Nadu,Chennai Central,Medium,Party C,Yes,Student,Postgraduate,2019-04-06
1018,72,Other,Maharashtra,Pune,Low,Party C,Yes,Employed,Graduate,2019-05-11
1019,65,Other,Kerala,Kozhikode,High,Party C,Yes,Student,Secondary,2019-04-21
1020,21,Other,Tamil Nadu,Madurai,Low,Party A,No,Employed,Primary,2019-05-14
1021,60,Other,Tamil Nadu,Chennai Central,Low,Party B,No,Self-employed,Secondary,2019-05-26
1022,19,Male,Kerala,Thiruvananthapuram,Medium,Party A,No,Employed,Primary,2019-04-12
1023,80,Male,Maharashtra,Pune,High,Party B,No,Self-employed,Primary,2019-05-28
1024,58,Female,Bihar,Patna Urban,Low,Party B,No,Student,Secondary,2019-04-17
1025,83,Other,Bihar,Muzaffarpur,Low,Party C,Yes,Unemployed,Postgraduate,2019-05-07
1026,65,Other,Maharashtra,Mumbai South,Low,Party C,No,Student,Secondary,2019-04-29
1027,82,Female,Maharashtra,Nagpur,Medium,Party B,Yes,Self-employed,Primary,2019-05-31
1028,58,Male,Maharashtra,Nagpur,High,Party A,Yes,Unemployed,Primary,2019-04-11
1029,54,Other,Bihar,Patna Urban,Medium,Party A,No,Unemployed,Postgraduate,2019-05-02
1030,19,Other,Bihar,Gaya,Low,Party C,Yes,Student,Graduate,2019-04-16
1031,75,Male,Bihar,Muzaffarpur,High,Party C,Yes,Unemployed,Primary,2019-04-24
1032,63,Male,Kerala,Kozhikode,Medium,Party B,No,Unemployed,Graduate,2019-04-08
1033,49,Other,Maharashtra,Pune,Low,Party B,No,Student,Graduate,2019-04-17
1034,68,Male,Kerala,Kochi,Medium,Party C,Yes,Student,Postgraduate,2019-04-04
1035,76,Female,Maharashtra,Mumbai South,Medium,Party B,Yes,Employed,Graduate,2019-05-27
1036,63,Male,Kerala,Thiruvananthapuram,Low,Party B,No,Unemployed,Primary,2019-05-04
1037,33,Female,Kerala,Thiruvananthapuram,Low,Party A,No,Unemployed,Postgraduate,2019-04-26
1038,64,Female,Maharashtra,Nagpur,Low,Party C,No,Employed,Postgraduate,2019-05-13
1039,35,Female,Tamil Nadu,Chennai Central,High,Party B,Yes,Self-employed,Secondary,2019-04-08
1040,23,Male,Kerala,Thiruvananthapuram,Medium,Party B,No,Employed,Secondary,2019-05-13
1041,52,Male,Kerala,Thiruvananthapuram,Medium,Party B,No,Unemployed,Graduate,2019-05-19
1042,67,Male,Tamil Nadu,Coimbatore,Low,Party A,Yes,Unemployed,Secondary,2019-04-23
1043,48,Male,Bihar,Muzaffarpur,High,Party B,No,Employed,Postgraduate,2019-05-01
1044,80,Male,Maharashtra,Nagpur,Medium,Party A,Yes,Unemployed,Secondary,2019-04-18
1045,49,Other,Bihar,Gaya,Medium,Party A,No,Employed,Secondary,2019-04-13
1046,33,Male,Kerala,Kochi,Medium,Party A,No,Unemployed,Secondary,2019-04-28
1047,43,Male,Bihar,Muzaffarpur,Low,Party B,No,Self-employed,Secondary,2019-04-15
1048,79,Male,Maharashtra,Nagpur,High,Party B,Yes,Self-employed,Primary,2019-04-18
1049,62,Other,Maharashtra,Nagpur,Medium,Party A,No,Employed,Secondary,2019-04-03
